product_id,client_id,product_name,product_type,fuel_type,unit_price,manufacturing_cost,launch_year,is_active
1,1,Model-1,Sedan,Electric,988282.18,744891.85,2024,True
2,2,Model-2,Sedan,Electric,692132.38,531782.68,2021,True
3,4,Model-3,SUV,Diesel,1989078.22,1216019.61,2022,True
4,2,Model-4,Hatchback,Diesel,1641468.4,1309430.46,2022,True
5,3,Model-5,Sedan,Petrol,1164437.83,655479.5,2024,True
6,5,Model-6,Truck,Petrol,1024038.05,596716.38,2025,True
7,4,Model-7,Sedan,Electric,1849888.55,1036228.09,2022,True
8,3,Model-8,SUV,Electric,2114000.5,1329404.66,2019,True
9,3,Model-9,Sedan,Petrol,750696.31,545824.38,2019,True
10,3,Model-10,SUV,Diesel,1319639.85,880126.23,2023,True
11,1,Model-11,SUV,Electric,991066.24,709507.03,2021,True
12,5,Model-12,SUV,Electric,967705.54,663402.49,2023,True
13,2,Model-13,Sedan,Diesel,2251694.03,1342851.92,2024,True
14,5,Model-14,Truck,Petrol,1048765.18,767740.88,2025,True
15,4,Model-15,SUV,Diesel,1570043.77,895631.9,2020,True
16,3,Model-16,Hatchback,Electric,1163807.48,746627.51,2024,True
17,2,Model-17,Hatchback,Petrol,1550325.75,861996.44,2018,True
18,2,Model-18,Hatchback,Electric,1815796.66,1361102.91,2019,True
19,4,Model-19,Truck,Electric,1395931.57,884767.31,2018,True
20,5,Model-20,Truck,Electric,1549716.2,1180283.41,2023,True
